,0,1,2,,,0,1,2
A1CF,0,0,1,,5637_URINARY_TRACT,0,0,1
AACS,0,0,1,,769P_KIDNEY,0,0,1
AADAC,0,0,1,,8305C_THYROID,0,0,1
AADACL3,0,0,1,,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,0,1
AAK1,0,0,1,,A549_LUNG,0,0,1
AAMDC,0,0,1,,ABC1_LUNG,0,0,1
AAR2,0,0,1,,BICR16_UPPER_AERODIGESTIVE_TRACT,0,0,1
AATF,0,0,1,,CAKI1_KIDNEY,0,0,1
ABCB6,0,0,1,,CAL27_UPPER_AERODIGESTIVE_TRACT,0,0,1
ABCC1,0,0,1,,CAL29_URINARY_TRACT,0,0,1
ABCC10,0,0,1,,CAL51_BREAST,0,0,1
ABCC11,0,0,1,,CAS1_CENTRAL_NERVOUS_SYSTEM,0,0,1
ABCC12,0,0,1,,CH157MN_CENTRAL_NERVOUS_SYSTEM,0,0,1
ABCC2,0,0,1,,CHLA266_SOFT_TISSUE,0,0,1
ABCC8,0,0,1,,COLO678_LARGE_INTESTINE,0,0,1
ABCD3,0,0,1,,COLO792_SKIN,0,0,1
ABCD4,0,0,1,,COLO800_SKIN,0,0,1
ABCF3,0,0,1,,COV318_OVARY,0,0,1
ABCG4,0,0,1,,COV504_OVARY,0,0,1
ABCG8,0,0,1,,COV644_OVARY,0,0,1
ABHD1,0,0,1,,DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,0,1
ABHD10,0,0,1,,DLD1_LARGE_INTESTINE,0,0,1
ABHD14A,0,0,1,,DU4475_BREAST,0,0,1
ABHD17C,0,0,1,,EFE184_ENDOMETRIUM,0,0,1
ABHD6,0,0,1,,EFM19_BREAST,0,0,1
ABHD8,0,0,1,,EFO21_OVARY,0,0,1
ABI1,0,0,1,,EKVX_LUNG,0,0,1
ABL1,0,0,1,,GAMG_CENTRAL_NERVOUS_SYSTEM,0,0,1
ABTB2,0,0,1,,GB1_CENTRAL_NERVOUS_SYSTEM,0,0,1
ACAA1,0,0,1,,GCIY_STOMACH,0,0,1
ACAA2,0,0,1,,GSU_STOMACH,0,0,1
ACACB,0,0,1,,HCC1428_BREAST,0,0,1
ACAD11,0,0,1,,HCC1806_BREAST,0,0,1
ACAD9,0,0,1,,HCC202_BREAST,0,0,1
ACADL,0,0,1,,HCC95_LUNG,0,0,1
ACADS,0,0,1,,HEC50B_ENDOMETRIUM,0,0,1
ACADSB,0,0,1,,HLF_LIVER,0,0,1
ACAT2,0,0,1,,HMC18_BREAST,0,0,1
ACBD3,0,0,1,,HS683_CENTRAL_NERVOUS_SYSTEM,0,0,1
ACBD4,0,0,1,,HS944T_SKIN,0,0,1
ACBD5,0,0,1,,HT144_SKIN,0,0,1
ACHE,0,0,1,,HT29_LARGE_INTESTINE,0,0,1
ACKR1,0,0,1,,HUH6_LIVER,0,0,1
ACKR2,0,0,1,,HUH7_LIVER,0,0,1
ACKR3,0,0,1,,HUPT3_PANCREAS,0,0,1
ACO2,0,0,1,,IGR1_SKIN,0,0,1
ACOT11,0,0,1,,IGR39_SKIN,0,0,1
ACOT12,0,0,1,,IMR32_AUTONOMIC_GANGLIA,0,0,1
ACOT4,0,0,1,,IPC298_SKIN,0,0,1
ACOT6,0,0,1,,ISTMES2_PLEURA,0,0,1
ACOX3,0,0,1,,JHH4_LIVER,0,0,1
ACP1,0,0,1,,JHUEM1_ENDOMETRIUM,0,0,1
ACP5,0,0,1,,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,0,1
ACR,0,0,1,,KMBC2_URINARY_TRACT,0,0,1
ACSBG1,0,0,1,,KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,0,1
ACSBG2,0,0,1,,KNS60_CENTRAL_NERVOUS_SYSTEM,0,0,1
ACSF2,0,0,1,,KNS62_LUNG,0,0,1
ACSL1,0,0,1,,KPL1_BREAST,0,0,1
ACSL3,0,0,1,,KPNYN_AUTONOMIC_GANGLIA,0,0,1
ACSM1,0,0,1,,KS1_CENTRAL_NERVOUS_SYSTEM,0,0,1
ACSM2A,0,0,1,,KU1919_URINARY_TRACT,0,0,1
ACSM2B,0,0,1,,KURAMOCHI_OVARY,0,0,1
ACSM3,0,0,1,,KYSE180_OESOPHAGUS,0,0,1
ACSS2,0,0,1,,KYSE270_OESOPHAGUS,0,0,1
ACTA1,0,0,1,,KYSE410_OESOPHAGUS,0,0,1
ACTB,0,0,1,,LCLC103H_LUNG,0,0,1
ACTC1,0,0,1,,LN319_CENTRAL_NERVOUS_SYSTEM,0,0,1
ACTL6A,0,0,1,,MDAMB231_BREAST,0,0,1
ACTL8,0,0,1,,MDAMB436_BREAST,0,0,1
ACTN2,0,0,1,,MDAMB453_BREAST,0,0,1
ACTR6,0,0,1,,MELJUSO_SKIN,0,0,1
ACVR2A,0,0,1,,MHHNB11_AUTONOMIC_GANGLIA,0,0,1
ACYP2,0,0,1,,MIAPACA2_PANCREAS,0,0,1
ADA,0,0,1,,MPP89_PLEURA,0,0,1
ADAD1,0,0,1,,MSTO211H_PLEURA,0,0,1
ADAD2,0,0,1,,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,0,1
ADAM10,0,0,1,,MYLA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,0,1
ADAM15,0,0,1,,NB1_AUTONOMIC_GANGLIA,0,0,1
ADAM19,0,0,1,,NCIH1299_LUNG,0,0,1
ADAM2,0,0,1,,NCIH1568_LUNG,0,0,1
ADAM20,0,0,1,,NCIH1666_LUNG,0,0,1
ADAM21,0,0,1,,NCIH1693_LUNG,0,0,1
ADAM28,0,0,1,,NCIH2052_PLEURA,0,0,1
ADAM33,0,0,1,,NCIH2110_LUNG,0,0,1
ADAM8,0,0,1,,NCIH2122_LUNG,0,0,1
ADAM9,0,0,1,,NCIH2126_LUNG,0,0,1
ADAMTS10,0,0,1,,NCIH747_LARGE_INTESTINE,0,0,1
ADAMTS18,0,0,1,,OAW28_OVARY,0,0,1
ADAMTS19,0,0,1,,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,0,1
ADAMTS2,0,0,1,,OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,0,1
ADAMTS3,0,0,1,,OE21_OESOPHAGUS,0,0,1
ADAMTS7,0,0,1,,ONCODG1_OVARY,0,0,1
ADAMTSL1,0,0,1,,ONS76_CENTRAL_NERVOUS_SYSTEM,0,0,1
ADAMTSL5,0,0,1,,OSRC2_KIDNEY,0,0,1
ADAP2,0,0,1,,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,0,1
ADAR,0,0,1,,PATU8988S_PANCREAS,0,0,1
ADARB1,0,0,1,,PC14_LUNG,0,0,1
ADARB2,0,0,1,,PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT,0,0,1
ADCK2,0,0,1,,PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT,0,0,1
ADCY10,0,0,1,,PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,0,1
ADCY2,0,0,1,,PK1_PANCREAS,0,0,1
ADCY3,0,0,1,,PSN1_PANCREAS,0,0,1
ADCY8,0,0,1,,RERFLCAD1_LUNG,0,0,1
ADCYAP1R1,0,0,1,,RT11284_URINARY_TRACT,0,0,1
ADH4,0,0,1,,RT4_URINARY_TRACT,0,0,1
ADHFE1,0,0,1,,RVH421_SKIN,0,0,1
ADI1,0,0,1,,S117_SOFT_TISSUE,0,0,1
ADIG,0,0,1,,SCS214_SOFT_TISSUE,0,0,1
ADIPOQ,0,0,1,,SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,0,1
ADIPOR2,0,0,1,,SIMA_AUTONOMIC_GANGLIA,0,0,1
ADM5,0,0,1,,SKMEL24_SKIN,0,0,1
ADNP2,0,0,1,,SKMES1_LUNG,0,0,1
ADORA2A,0,0,1,,SKNAS_AUTONOMIC_GANGLIA,0,0,1
ADORA2B,0,0,1,,SKNBE2_AUTONOMIC_GANGLIA,0,0,1
ADPRHL1,0,0,1,,SKNFI_AUTONOMIC_GANGLIA,0,0,1
ADRA2C,0,0,1,,SKOV3_OVARY,0,0,1
GRK2,0,0,1,,SLR20_KIDNEY,0,0,1
ADRM1,0,0,1,,SMSCTR_SOFT_TISSUE,0,0,1
AEBP2,0,0,1,,SNGM_ENDOMETRIUM,0,0,1
AFAP1L2,0,0,1,,SNU1105_CENTRAL_NERVOUS_SYSTEM,0,0,1
AFM,0,0,1,,SNU449_LIVER,0,0,1
AFTPH,0,0,1,,SNU8_OVARY,0,0,1
AGAP3,0,0,1,,SW1463_LARGE_INTESTINE,0,0,1
AGBL1,0,0,1,,T24_URINARY_TRACT,0,0,1
AGBL2,0,0,1,,T98G_CENTRAL_NERVOUS_SYSTEM,0,0,1
AGFG2,0,0,1,,TE5_OESOPHAGUS,0,0,1
AGL,0,0,1,,TE6_OESOPHAGUS,0,0,1
AGMO,0,0,1,,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,0,1
AGO3,0,0,1,,TOV21G_OVARY,0,0,1
AGPAT3,0,0,1,,TUHR14TKB_KIDNEY,0,0,1
AGPAT4,0,0,1,,U343_CENTRAL_NERVOUS_SYSTEM,0,0,1
GPAT4,0,0,1,,U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,0,1
AGPS,0,0,1,,UACC257_SKIN,0,0,1
AGR3,0,0,1,,UMUC3_URINARY_TRACT,0,0,1
